Station Name,Climate Division,Latitude,Longitude,Avg T-Max,Avg T-Min,T-Avg,T-Avg DFN,Highest T-Max,Lowest T-Min,HDD,HDD DFN,HDD Normal,Percent of Normal HDD,CDD,CDD DFN,CDD Normal,Percent of Normal CDD,Total P,Normal P,P-DFN,1-Day Max,P-Max Date,P-Days,Missing T-Avg,Missing Total P
Blanchard,LA01,32.5937,-93.8938,79.1,58.6,68.85,-,86,39,46,-,-,-,166,-,-,-,5.65,-,1004.65,3.35,2025-04-06,9,0,0
Bossier City 4.0 S,LA01,32.4673,-93.7193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.09,-,1006.09,2.58,2025-04-21,5,30,0
Converse 7.8 NNW,LA01,31.78,-93.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.57,-,1003.57,2.49,2025-04-06,6,30,0
Coushatta 4.3 ENE,LA01,32.0289,-93.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.58,-,1002.58,2.23,2025-04-06,6,30,0
Keithville,LA01,32.3543,-93.9196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.55,5.08,2.47,3.06,2025-04-21,7,30,0
Logansport,LA01,31.9829,-94.0063,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.24,4.79,3.45,2.87,2025-04-21,8,30,0
Mooringsport 1 N,LA01,32.6893,-93.9771,78.3,58.9,68.61,3.71,85,46,34,-48,90,37.77777777777778,143,64,84,170.2380952380952,4.59,4.73,-0.1400000000000006,2.8,2025-04-06,7,2,2
Plain Dealing,LA01,32.9057,-93.6924,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.47,4.69,-0.2200000000000006,3.07,2025-04-06,7,30,0
RED River Research Station,LA01,31.836,-93.43,79.8,60.3,70.03,4.84,89,42,33,-58,91,36.26373626373626,191,94,97,196.9072164948454,7.64,5.56,2.08,3.16,2025-04-06,10,0,0
Shreveport Downtown Ap,LA01,32.5252,-93.8174,81.2,61.5,71.32,4.46,89,45,29,-36,65,44.61538461538462,226,105,121,186.7768595041322,8.75,4.65,4.1,3.68,2025-04-30,10,0,0
Shreveport Ap,LA01,32.4466,-93.8254,83.2,61.3,72.23,6.33,89,44,23,-55,78,29.48717948717949,246,141,105,234.2857142857143,10.25,5.19,5.06,4.53,2025-04-30,8,0,0
Shreveport WFO,LA01,32.5215,-93.8241,81,60.1,70.53,6.18,87,43,25,-70,95,26.31578947368421,199,124,75,265.3333333333333,10.06,5.17,4.890000000000001,4.56,2025-04-30,9,0,0
Shreveport Southern Hills,LA01,32.396,-93.77,81.2,57.2,69.18,5.08,89,39,52,-50,102,50.98039215686274,185,109,76,243.4210526315789,7.71,5.34,2.37,2.88,2025-04-21,8,0,0
Springhill,LA01,32.9723,-93.4618,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.58,-1003.58,-,,-,30,30
Stonewall 5.3 Ne,LA01,32.14,-93.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.98,-,1006.98,2.68,2025-04-21,9,30,0
Taylortown,LA01,32.6143,-93.6024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.32,-,1007.32,3.63,2025-04-06,8,30,0
Arcadia,LA02,32.5513,-92.9196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.38,5.8,-1.42,3.11,2025-04-06,5,30,0
Bienville 3 Ne,LA02,32.71,-93.02,80.3,58.9,69.6,4.9,89,40,43,-54,97,44.32989690721649,188,100,88,213.6363636363636,4.92,5.93,-1.01,2.57,2025-04-05,10,0,0
Calhoun 4.3 SSE,LA02,32.51,-92.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.58,6.06,2.52,5.02,2025-04-06,10,30,1
Carlton 1.7 E,LA02,32.19,-93.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.4,-,1003.4,3.47,2025-04-06,8,30,0
Columbia Lock,LA02,32.08,-92.1,80,58.3,69.14,4.62,89,44,36,-60,97,37.11340206185567,160,79,86,186.046511627907,4.5,6.2,-1.7,1.55,2025-04-06,8,1,1
Homer 1N,LA02,32.8002,-93.0565,80.5,57,68.77,6.57,89,37,55,-85,140,39.28571428571428,175,119,56,312.5,1.1,5.89,-4.789999999999999,0.49,2025-04-25,6,0,2
Jamestown,LA02,32.32,-93.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,5.56,0.6400000000000006,3.47,2025-04-06,5,30,0
Jonesboro 3.8 ESE,LA02,32.23,-92.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.64,-,1006.64,3.08,2025-04-06,3,30,0
Monroe Regional Ap,LA02,32.5109,-92.0378,81.9,60.4,71.13,5.63,91,44,37,-46,83,44.57831325301205,230,132,98,234.6938775510204,7.74,5.83,1.91,3.36,2025-04-05,8,0,0
Monroe 26 N,LA02,33.0,-92.12,80.3,57.7,69,5.9,90,41,56,-61,117,47.86324786324786,183,123,60,305,7.15,5.67,1.48,3.26,2025-04-05,7,0,0
Quitman 2.5 E,LA02,32.8,-92.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.12,-,1005.12,3.2,2025-04-06,5,30,0
Ringgold 3.3 ESE,LA02,32.36,-93.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.07,-,1005.07,3.27,2025-04-06,3,30,1
Rocky Branch 1.3 W,LA02,32.96,-92.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.19,-,1004.19,3.9,2025-04-06,6,30,0
Ruston 5.4 ENE,LA02,32.57,-92.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.63,-,1002.63,2.83,2025-04-06,4,30,0
Ruston 5.5 NNW,LA02,32.62,-92.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.32,6.36,-1.04,4.16,2025-04-06,4,30,0
Sikes 1.0 Sw,LA02,32.13,-93.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.53,-,1004.53,3.34,2025-04-06,6,30,0
West Monroe,LA02,32.507,-92.1474,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.06,-1005.06,-,,-,30,30
Fsa-Oak Grove 0.2 S,LA03,32.865,-91.392,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.29,-,1008.29,2.93,2025-04-25,3,30,0
Fsa-St. Joseph 0.5 NNW,LA03,31.935,-91.242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.62,-,1005.62,1.41,2025-04-24,3,30,1
Fsa-Tallulah 1.7 SSE,LA03,32.37,-91.166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.13,-,1003.13,0.7,2025-04-24,3,30,3
OAK Grove,LA03,32.8682,-91.3958,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.81,6.17,4.640000000000001,4.22,2025-04-24,6,30,4
OAK Grove 1.9 E,LA03,32.87,-91.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.93,-,1007.93,3.73,2025-04-06,9,30,0
Pioneer 0.3 WSW,LA03,32.685,-91.494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.3,-,1006.3,4.11,2025-04-06,8,30,0
Tallulah Vicksburg Regional Ap,LA03,32.3949,-91.0246,82.2,58.9,70.53,4.34,91,41,46,-29,75,61.33333333333333,219,108,111,197.2972972972973,4.73,5.96,-1.23,2.08,2025-04-05,7,0,0
Winnsboro 5 SSE,LA03,32.06,-91.7,81.2,59.1,70.16,4.5,90,40,47,-37,89,52.80898876404494,197,94,111,177.4774774774775,7.2,6.25,0.9500000000000002,2.56,2025-04-06,9,2,2
Anacoco 3.0 Sw,LA04,31.21,-93.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.31,-,1003.31,2.79,2025-04-06,9,30,0
Campti 0.6 Sw,LA04,31.89,-92.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.94,-,1005.94,3.64,2025-04-06,7,30,0
Campti 5.7 ENE,LA04,31.92,-92.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.52,-,1004.52,2.63,2025-04-06,6,30,0
Goldonna 1.5 N,LA04,32.0,-92.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.4,-,1005.4,2.9,2025-04-06,6,30,0
Hornbeck 2.3 Ne,LA04,31.36,-93.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.05,-,1003.05,2.38,2025-04-06,6,30,0
Leesville,LA04,31.1446,-93.2613,82.6,59,70.8,5,90,37,38,-46,84,45.23809523809524,219,111,108,202.7777777777778,2.95,5.35,-2.399999999999999,1.72,2025-04-06,9,0,0
Leesville 7.1 SSW,LA04,31.01,-93.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.71,-,1001.71,1.54,2025-04-06,8,30,0
Many 9 WSW,LA04,31.53,-93.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.03,4.99,-1.96,1.2,2025-04-06,12,30,0
Natchitoches #2,LA04,31.7607,-93.0868,82.4,60,71.22,4.66,90,41,31,-37,68,45.58823529411764,226,111,115,196.5217391304348,3.11,5.1,-1.99,2.04,2025-04-06,7,0,0
Noble 1.8 ESE,LA04,31.69,-93.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.48,-,1002.48,2.26,2025-04-06,6,30,2
Pitkin 6.6 WNW,LA04,30.94,-93.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.27,-,1003.27,2.25,2025-04-06,6,30,5
Pleasant Hill 10.2 Se,LA04,31.87,-93.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.75,5.07,-1.32,2.3,2025-04-06,5,30,3
Toledo Bend Lake,LA04,31.18,-93.57,82.5,60,71.25,5.35,87,44,24,-42,73,32.87671232876712,205,114,95,215.7894736842105,5.06,4.64,0.4199999999999999,2.09,2025-04-06,10,2,0
Alexandria,LA05,31.3113,-92.4451,80.3,60.9,70.61,4.81,87,43,41,-30,75,54.66666666666666,206,113,101,203.9603960396039,4.92,5.44,-0.5200000000000005,2.1,2025-04-06,6,2,2
Alexandria 5 SSE,LA05,31.23,-92.4,81.5,59.5,70.47,4.11,89,43,40,-32,72,55.55555555555556,209,97,112,186.6071428571429,4.09,5.08,-0.9900000000000002,1.95,2025-04-06,5,0,0
Alexandria Esler Field,LA05,31.3947,-92.2969,81.6,58.4,70.02,4.46,89,40,43,-40,83,51.80722891566265,202,103,99,204.040404040404,5.39,4.92,0.4699999999999998,2.09,2025-04-05,8,0,0
Arnaudville 4.7 Nw,LA05,30.42,-91.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.67,-,1003.67,2.36,2025-04-24,7,30,4
Beaver Fire Tower,LA05,31.73,-92.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.88,5.27,-0.3899999999999997,1.77,2025-04-06,7,30,23
Boyce 3 WNW,LA05,31.39,-93.0,78,59.4,68.68,3.73,85,44,46,-39,85,54.11764705882353,163,79,84,194.047619047619,4.84,5.61,-0.7700000000000005,2.63,2025-04-05,8,0,0
Bunkie,LA05,30.9521,-92.1818,79.3,59.6,69.47,2.16,87,42,39,-20,59,66.10169491525424,181,54,127,142.5196850393701,5.71,5.92,-0.21,2,2025-04-06,6,0,0
Colfax 7.2 Nw,LA05,31.62,-92.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.79,-,1002.79,3.3,2025-04-06,7,30,0
Fsa-Ferriday 1.0 WSW,LA05,31.62,-91.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.98,-,1001.98,1.75,2025-04-24,2,30,3
Fsa-Opelousas 1.0 ESE,LA05,30.53,-92.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.26,-,1003.26,0,2025-04-30,0,30,0
Grand Coteau 2.7 E,LA05,30.4157,-91.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.66,5.13,1.53,3.75,2025-04-24,5,30,0
Hessmer 2.5 WSW,LA05,31.05,-92.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8,-,1003.8,2.42,2025-04-06,5,30,0
Jena,LA05,31.6832,-92.1293,-,-,-,-,-,-,-,-,107,-,-,-,87,-,-,5.38,-1004.38,-,,-,30,30
Jonesville Locks,LA05,31.63,-91.82,81.6,59.4,70.52,5.92,88,44,26,-60,91,28.57142857142857,187,112,82,228.0487804878049,4.39,5.05,-0.6600000000000001,2.2,2025-04-06,6,2,2
Marksville,LA05,31.1271,-92.0679,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.38,5.83,-2.45,2.4,2025-04-06,2,30,28
Pineville 0.4 NNW,LA05,31.325,-92.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.89,-,1004.89,2.95,2025-04-06,9,30,3
RED River Lock #1,LA05,31.93,-92.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.35,4.48,-1.13,1.7,2025-04-06,7,30,0
RED River Lock # 2,LA05,31.85,-92.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.33,4.91,-2.58,2.16,2025-04-06,2,30,20
Trout 4.4 WSW,LA05,31.7,-92.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.78,-,1003.78,3.15,2025-04-06,5,30,0
Ville Platte,LA05,30.6888,-92.2718,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.04,-1004.04,-,,-,30,30
ST. Francisville 1 Ne,LA06,30.79,-91.37,82.1,59.2,70.66,5.56,89,39,39,-13,53,73.58490566037736,211,155,60,351.6666666666667,5.74,-,1004.74,1.82,2025-04-06,6,1,1
Talisheek,LA06,30.58,-89.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.83,5.69,-3.86,1.12,2025-04-07,6,30,0
Wakefield 0.2 E,LA06,30.75,-90.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.03,-,1002.03,1.56,2025-04-06,8,30,0
Baker,LA06,30.5849,-91.1677,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.9,5.25,-1.35,1.6,2025-04-24,3,30,13
Baton Rouge Metro Ap,LA06,30.5328,-91.1493,83.1,61.6,72.35,4.35,89,43,23,-28,51,45.09803921568628,251,110,141,178.0141843971631,4.76,5.08,-0.3200000000000003,1.37,2025-04-22,5,0,0
Baton Rouge Sherwood,LA06,30.49,-91.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.76,5.23,-1.470000000000001,1.22,2025-04-23,7,30,0
Baton Rouge 0.5 ESE,LA06,30.456,-91.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.58,-,1003.58,1.4,2025-04-06,7,30,1
Baton Rouge 3.5 E,LA06,30.45,-91.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.59,-,1002.59,1.33,2025-04-23,7,30,0
Baton Rouge 6.2 SSE,LA06,30.38,-91.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.78,-,1004.78,3.23,2025-04-23,9,30,0
Central 2.2 Se,LA06,30.55,-91.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.54,5.15,-1.61,1.39,2025-04-24,5,30,0
Clinton 0.2 NNW,LA06,30.87,-91.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.15,-,1004.15,2.6,2025-04-22,4,30,1
Covington 8 WNW,LA06,30.52,-90.26,81.7,58.9,70.3,3.75,89,39,37,-30,67,55.22388059701493,203,90,113,179.646017699115,2.8,5.31,-2.51,0.91,2025-04-26,8,0,0
Abita River Covington,LA06,30.4815,-90.1012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.52,5.32,-1.8,1.42,2025-04-07,6,30,0
Denham Springs 6.8 N,LA06,30.63,-90.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.67,5.28,-0.6100000000000003,1.45,2025-04-24,6,30,0
Fsa-Amite City 0.8 Sw,LA06,30.72,-90.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.26,-,1007.26,2.2,2025-04-01,6,30,0
Fsa-Franklinton 0.6 WSW,LA06,30.84,-90.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.75,-,1004.75,3.2,2025-04-07,4,30,2
Jackson 3.6 NNE,LA06,30.86,-91.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.57,-,1003.57,1.23,2025-04-06,7,30,0
Lacombe 1.4 N,LA06,30.33,-89.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.17,5.54,-2.37,1.61,2025-04-07,6,30,0
Livingston,LA06,30.4985,-90.7474,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.09,4.99,0.09999999999999964,1.31,2025-04-22,7,30,0
LSU,LA06,30.4133,-91.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.81,5.44,-1.63,1.55,2025-04-24,5,30,0
NEW Roads 5 Ne,LA06,30.75,-91.38,82.3,61.9,72.07,3.75,89,44,21,-24,46,45.65217391304348,234,93,146,160.2739726027397,6.61,5.07,1.54,2.63,2025-04-24,8,1,1
Norwood,LA06,30.97,-91.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.96,-1003.96,-,,-,30,30
Ponchatoula 4 E,LA06,30.43,-90.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.85,5.41,-2.56,1.06,2025-04-01,7,30,0
Ponchatoula 5.3 W,LA06,30.44,-90.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.57,-,1002.57,1.14,2025-04-01,6,30,0
Port Allen,LA06,30.4502,-91.2113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.14,5.15,-1.010000000000001,1.63,2025-04-24,6,30,0
Slidell,LA06,30.2752,-89.7812,80.7,66.2,73.45,6.39,86,54,3,-35,57,5.263157894736842,184,102,114,161.4035087719298,3.42,5.47,-2.05,1.6,2025-04-07,7,9,6
Slidell Ap,LA06,30.3407,-89.8206,80.2,60,70.1,3.11,86,43,37,-20,57,64.91228070175438,199,82,117,170.0854700854701,1.29,5.21,-3.92,1,2025-04-06,4,0,0
Slidell 4.4 E,LA06,30.28,-89.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.68,5.48,-2.8,1.13,2025-04-01,6,30,0
Abbeville,LA07,29.9741,-92.1343,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.12,5.08,-3.96,0.68,2025-04-01,7,30,0
Branch 0.4 SSW,LA07,30.355,-92.283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.19,-,1003.19,2.34,2025-04-24,5,30,0
Church Point 0.7 WSW,LA07,30.4,-92.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.04,-,1005.04,2.88,2025-04-23,5,30,6
Crowley 2 Ne,LA07,30.25,-92.36,-,-,-,-,-,-,-,-,48,-,-,-,142,-,2.2,5.34,-3.14,1.82,2025-04-24,5,30,0
DRY Creek 8NW,LA07,30.57,-93.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.26,5.27,-1.01,3.2,2025-04-06,3,30,27
Fsa-De Ridder 0.9 E,LA07,30.84,-93.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.04,-,1002.04,0.61,2025-04-24,3,30,2
Iowa 0.9 ESE,LA07,30.22,-93.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,4.74,-4.24,0.3,2025-04-06,4,30,3
Jennings,LA07,30.223,-92.6571,79,61,70,2.55,85,41,40,-14,54,74.07407407407408,197,69,128,153.90625,1.57,4.79,-3.22,1.12,2025-04-24,4,0,0
Kaplan,LA07,29.9957,-92.284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,4.58,-4.08,0.3,2025-04-06,3,30,0
Lake Arthur 7 Sw,LA07,29.98,-92.85,78.8,65.1,71.98,3.38,84,47,26,-13,39,66.66666666666666,242,95,147,164.6258503401361,0.16,4.75,-4.59,0.16,2025-04-06,1,0,0
Lake Charles 2 N,LA07,30.25,-93.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.73,4.49,-2.76,1.25,2025-04-24,3,30,2
Lake Charles Port,LA07,30.215,-93.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.51,4.86,-2.350000000000001,2.05,2025-04-24,3,30,0
Lake Charles Regional Ap,LA07,30.1262,-93.2233,80.5,62.2,71.33,2.18,86,42,32,-3,35,91.42857142857143,230,71,159,144.6540880503144,0.72,4.44,-3.720000000000001,0.38,2025-04-05,4,0,0
Lake Charles 4.8 SSE,LA07,30.11,-93.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.68,-,999.68,0.63,2025-04-06,3,30,1
Leland Bowman Lock,LA07,29.88,-93.0,78.5,66.2,72.33,5.86,83,50,12,-42,60,20,216,122,104,207.6923076923077,0.24,5.47,-5.23,0.19,2025-04-06,2,3,3
Moss Bluff,LA07,30.32,-93.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.86,4.99,-3.13,0.97,2025-04-24,4,30,0
Moss Bluff 2 NNW,LA07,30.345,-93.2,81.3,61.4,71.32,4.12,87,39,29,-24,53,54.71698113207547,227,107,120,189.1666666666667,1.46,5.29,-3.83,0.87,2025-04-24,3,0,0
Oberlin Fire Tower,LA07,30.62,-92.83,79.9,63,71.47,5.12,86,43,27,-41,68,39.70588235294117,229,121,108,212.037037037037,2.74,5.1,-2.359999999999999,1.45,2025-04-24,7,0,0
Ragley 5.0 Se,LA07,30.52,-93.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.03,4.62,-2.59,0.93,2025-04-06,3,30,0
Rayne 1.0 W,LA07,30.23,-92.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.62,-,1002.62,2.91,2025-04-24,6,30,0
Sulphur,LA07,30.2368,-93.3774,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.45,4.86,-2.41,1.8,2025-04-16,7,30,0
Sulphur 2.2 E,LA07,30.24,-93.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.84,4.81,-1.97,2.25,2025-04-24,6,30,2
Baldwin 1.8 N,LA08,29.88,-90.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.43,-,999.43,0.02,2025-04-27,3,30,2
Breaux Bridge 0.7 NNW,LA08,30.29,-91.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.39,-,1005.39,3.77,2025-04-24,8,30,0
Bayou Sorrel Lock,LA08,30.07,-91.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.44,5.46,-2.02,2,2025-04-01,4,30,2
Carencro,LA08,30.3185,-92.0457,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.03,4.74,2.29,4.6,2025-04-24,7,30,0
Carville 2 Sw,LA08,30.18,-91.11,81.1,64.4,72.77,4.52,86,48,14,-25,39,35.8974358974359,254,117,137,185.4014598540146,1.3,4.77,-3.47,0.6,2025-04-21,5,0,0
Donaldsonville 4 Sw,LA08,30.05,-91.0,81.1,61.3,71.2,3.45,88,44,33,-18,51,64.70588235294117,226,92,134,168.6567164179104,3.34,4.88,-1.54,2.23,2025-04-01,9,0,0
Jeanerette 5 Nw,LA08,29.97,-91.72,79.1,59.9,69.48,2.04,84,43,33,-19,52,63.46153846153846,171,46,125,136.8,2.01,4.81,-2.8,0.89,2025-04-22,6,0,0
Lafayette Regional Ap,LA08,30.2052,-91.9877,80.9,63,71.98,2.84,86,45,20,-18,38,52.63157894736842,235,73,162,145.0617283950617,8.07,4.91,3.16,6.34,2025-04-24,7,0,0
Lafayette 2.9 ENE,LA08,30.25,-91.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.27,-,1008.27,0.76,2025-04-26,5,30,0
NEW Iberia Airport - Acadiana Regional,LA08,30.0421,-91.883,81,62.4,71.7,2.79,86,43,22,-14,36,61.11111111111111,230,76,154,149.3506493506493,4.5,4.82,-0.3200000000000003,4.24,2025-04-24,3,0,0
Plaquemine 2 N,LA08,30.32,-91.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.69,5.19,1.5,4.5,2025-04-24,6,30,0
ST. Gabriel 2.8 NNW,LA08,30.26,-91.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.69,-,1002.69,1.55,2025-04-25,9,30,0
ST. Martinville 0.2 S,LA08,30.115,-91.832,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.02,5.25,0.7699999999999996,2.32,2025-04-24,7,30,0
Belle Chasse 1.6 NNE,LA09,29.87,-89.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.26,-,1004.26,2.2,2025-04-07,6,30,0
Chalmette,LA09,29.941,-89.9673,79.2,65.7,72.47,2.62,86,50,16,-2,18,88.88888888888889,250,87,163,153.3742331288344,7.07,5.31,1.760000000000001,2.54,2025-04-22,5,0,0
CUT OFF 0.8 WNW,LA09,29.53,-90.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.57,-,1001.57,1.16,2025-04-07,6,30,3
Dulac 3N,LA09,29.44,-90.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.42,4.45,-3.03,0.7,2025-04-07,4,30,0
Dutchtown #2,LA09,30.04,-90.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.59,5.68,-4.09,0.53,2025-04-21,9,30,0
Gonzales,LA09,30.2241,-90.9201,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.25,5.13,-1.88,1.65,2025-04-01,5,30,3
Houma 4.1 NNE,LA09,29.63,-90.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.49,-,1003.49,1.91,2025-04-23,7,30,0
NEW Orleans Ap,LA09,29.9934,-90.258,81.1,65.8,73.45,3.35,86,47,13,-14,27,48.14814814814815,272,92,180,151.1111111111111,5.23,5.22,0.01000000000000068,4.38,2025-04-21,6,0,0
NEW Orleans Lakefront Ap,LA09,30.0426,-90.0278,81,67.7,74.35,3.8,87,56,6,-16,22,27.27272727272727,297,109,188,157.9787234042553,2.96,5.87,-2.91,1.69,2025-04-21,5,0,0
NEW Orleans 2.8 E,LA09,30.0,-90.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.15,-,1013.15,10.95,2025-04-22,7,30,0
NEW Orleans Audubon,LA09,29.93,-90.12,80.5,64.1,72.3,0.84,87,46,19,0,19,100,248,36,212,116.9811320754717,6.22,4.99,1.23,3.62,2025-04-22,10,0,0
Metairie 2.8 ENE,LA09,30.01,-90.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.47,-,1004.47,2.84,2025-04-22,7,30,0
Raceland 2.1 WSW,LA09,29.69,-90.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.34,-,1002.34,1.35,2025-04-01,5,30,2
River Ridge 0.7 N,LA09,29.96,-90.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.17,-,1005.17,2.35,2025-04-22,8,30,2
St Amant 3.3 N,LA09,30.22,-90.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.92,-,1000.92,1.11,2025-04-01,5,30,0
ST. Bernard 2.7 E,LA09,29.88,-89.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.22,-,1001.22,0.13,2025-04-06,1,30,3
St Rose 0.3 W,LA09,29.97,-90.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.94,-,1005.94,3.95,2025-04-22,4,30,0
Thibodaux 4 Se,LA09,29.75,-90.78,80.1,63.8,71.95,2.39,86,43,21,-11,33,63.63636363636363,230,65,170,135.2941176470588,4.25,4.94,-0.6900000000000004,1.61,2025-04-23,9,1,1
Westwego 2.4 ENE,LA09,29.91,-90.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.69,-,1004.69,4.93,2025-04-21,6,30,0
