Station Name,Station Name (File),Climate Division,Latitude,Longitude,Avg T-Max,Avg T-Min,T-Avg,T-Avg DFN,Highest T-Max,Lowest T-Min,HDD,HDD DFN,CDD,CDD DFN,Total P,Normal P,P-DFN,1-Day Max,P-Max Date,P-Days,Missing T-Avg,Missing Total P
ST. FRANCISVILLE 1 NE,ST. FRANCISVILLE 1 NE,LA06,-91.3675,30.7872,79.5,61.0,70.25,-0.2,80.0,58.0,0.0,-1.0,11.0,-0.0,1.85,-999.0,1000.85,1.53,2025-05-07,2.0,0,0
TALISHEEK,TALISHEEK,LA06,-89.87414,30.53241,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.42,0.33,3.09,2.92,2025-05-07,2.0,2,0
WAKEFIELD 0.2 E,WAKEFIELD 0.2 E,LA06,-91.34814,30.88888,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.09,-999.0,1001.09,1.97,2025-05-07,2.0,2,0
ABBEVILLE,ABBEVILLE,LA07,-92.1169,29.9688,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.55,0.3,4.25,3.96,2025-05-07,2.0,2,0
BRANCH 0.4 SSW,BRANCH 0.4 SSW,LA07,-92.26944,30.34362,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.7,-999.0,1005.7,6.2,2025-05-07,2.0,2,0
CHURCH POINT 0.7 WSW,CHURCH POINT 0.7 WSW,LA07,-92.2249,30.40099,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.66,-999.0,1005.66,5.99,2025-05-07,2.0,2,0
CROWLEY 2 NE,CROWLEY 2 NE,LA07,-92.34759,30.24099,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.17,0.39,5.78,5.63,2025-05-07,2.0,2,0
DRY CREEK 8NW,DRY CREEK 8NW,LA07,-93.13875,30.74138,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6.44,0.32,6.12,6.44,2025-05-07,1.0,2,0
FSA-DE RIDDER 0.9 E,FSA-DE RIDDER 0.9 E,LA07,-93.27662,30.84742,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,7.87,-999.0,1006.87,7.83,2025-05-07,2.0,2,0
IOWA 0.9 ESE,IOWA 0.9 ESE,LA07,-92.99864,30.23225,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.57,0.35,4.220000000000001,4.55,2025-05-07,2.0,2,0
JENNINGS,JENNINGS,LA07,-92.6641,30.2002,79.5,65.5,72.5,-0.2,81.0,64.0,0.0,-1.0,15.0,-1.0,6.08,0.37,5.71,5.59,2025-05-07,2.0,0,0
KAPLAN,KAPLAN,LA07,-92.2825,29.9941,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.72,0.28,2.4400000000000004,2.2,2025-05-07,2.0,2,0
LAKE ARTHUR 7 SW,LAKE ARTHUR 7 SW,LA07,-92.76808,30.02054,77.0,66.0,71.5,-2.1,77.0,66.0,0.0,-0.0,7.0,-2.0,5.3,0.32,4.9799999999999995,4.92,2025-05-07,2.0,1,0
LAKE CHARLES 2 N,LAKE CHARLES 2 N,LA07,-93.2186,30.2544,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.82,0.38,5.44,5.25,2025-05-07,2.0,2,0
LAKE CHARLES PORT,LAKE CHARLES PORT,LA07,-93.2494,30.2141,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.5,0.33,4.17,2.4,2025-05-08,2.0,2,0
LAKE CHARLES REGIONAL AP,LAKE CHARLES REGIONAL AP,LA07,-93.22771,30.12551,82.5,63.0,72.75,-1.4,85.0,61.0,0.0,-0.0,16.0,-3.0,1.09,0.34,0.75,1.09,2025-05-07,1.0,0,0
LAKE CHARLES 4.8 SSE,LAKE CHARLES 4.8 SSE,LA07,-93.17644,30.145,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.16,-999.0,1003.16,3.59,2025-05-07,2.0,2,0
LELAND BOWMAN LOCK,LELAND BOWMAN LOCK,LA07,-92.20826,29.7869,78.5,65.0,71.75,-0.1,82.0,65.0,0.0,-1.0,14.0,-0.0,6.21,0.29,5.92,6.21,2025-05-07,1.0,0,0
MOSS BLUFF,MOSS BLUFF,LA07,-93.20835,30.29456,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.91,0.39,5.5200000000000005,5.37,2025-05-07,2.0,2,0
MOSS BLUFF 2 NNW,MOSS BLUFF 2 NNW,LA07,-93.21504,30.33971,87.0,59.0,73.0,0.4,87.0,59.0,0.0,-0.0,8.0,0.0,5.66,0.38,5.28,5.66,2025-05-07,1.0,1,0
OBERLIN FIRE TOWER,OBERLIN FIRE TOWER,LA07,-92.7739,30.6036,80.5,64.5,72.5,1.05,81.0,62.0,0.0,-1.0,16.0,2.0,4.73,0.34,4.390000000000001,4.73,2025-05-07,1.0,0,0
RAGLEY 5.0 SE,RAGLEY 5.0 SE,LA07,-93.15908,30.4713,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.9,0.32,4.58,4.58,2025-05-07,2.0,2,0
RAYNE 1.0 W,RAYNE 1.0 W,LA07,-92.28433,30.2353,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.93,-999.0,1004.93,5.45,2025-05-07,2.0,2,0
SULPHUR,SULPHUR,LA07,-93.3447,30.2383,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.5,0.33,0.16999999999999998,0.49,2025-05-07,2.0,2,0
SULPHUR 2.2 E,SULPHUR 2.2 E,LA07,-93.32055,30.23394,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.97,0.27,5.699999999999999,5.62,2025-05-07,2.0,2,0
BALDWIN 1.8 N,BALDWIN 1.8 N,LA08,-91.55501,29.8591,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.09,-999.0,1003.09,-999.0,M,-999.0,2,0
BREAUX BRIDGE 0.7 NNW,BREAUX BRIDGE 0.7 NNW,LA08,-91.90435,30.28786,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.55,-999.0,1003.55,4.11,2025-05-07,2.0,2,0
BAYOU SORREL LOCK,BAYOU SORREL LOCK,LA08,-91.3227,30.1327,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.95,0.34,1.6099999999999999,1.2,2025-05-07,2.0,2,0
CARENCRO,CARENCRO,LA08,-92.04455,30.32005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.4,0.37,5.03,4.9,2025-05-07,2.0,2,0
CARVILLE 2 SW,CARVILLE 2 SW,LA08,-91.1255,30.198,79.5,65.5,72.5,-0.95,84.0,64.0,0.0,-0.0,15.0,-2.0,1.3,0.34,0.96,1.3,2025-05-07,1.0,0,0
DONALDSONVILLE 4 SW,DONALDSONVILLE 4 SW,LA08,-91.0278,30.0719,78.0,64.0,71.0,-1.95,81.0,62.0,0.0,-1.0,13.0,-3.0,2.28,0.35,1.9299999999999997,1.3,2025-05-07,2.0,0,0
JEANERETTE 5 NW,JEANERETTE 5 NW,LA08,-91.71118,29.95938,78.0,65.0,73.0,0.8,81.0,65.0,0.0,-0.0,8.0,0.0,3.26,0.31,2.9499999999999997,2.65,2025-05-07,2.0,1,0
LAFAYETTE REGIONAL AP,LAFAYETTE REGIONAL AP,LA08,-91.98957,30.19859,80.5,63.5,72.0,-2.5,84.0,62.0,0.0,-0.0,14.0,-5.0,2.6,0.35,2.25,2.6,2025-05-07,1.0,0,0
LAFAYETTE 2.9 ENE,LAFAYETTE 2.9 ENE,LA08,-91.98386,30.22917,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.03,-999.0,1004.03,-999.0,M,-999.0,2,0
NEW IBERIA AIRPORT - ACADIANA REGIONAL,NEW IBERIA AIRPORT - ACADIANA REGIONAL,LA08,-91.88456,30.02916,81.0,62.0,71.5,-2.55,85.0,60.0,0.0,-0.0,14.0,-4.0,2.8,0.26,2.54,2.8,2025-05-07,1.0,0,0
PLAQUEMINE 2 N,PLAQUEMINE 2 N,LA08,-91.2517,30.3214,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.05,0.41,2.6399999999999997,2.4,2025-05-07,2.0,2,0
ST. GABRIEL 2.8 NNW,ST. GABRIEL 2.8 NNW,LA08,-91.11847,30.3097,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.8,-999.0,1002.8,3.35,2025-05-07,2.0,2,0
ST. MARTINVILLE 0.2 S,ST. MARTINVILLE 0.2 S,LA08,-91.83098,30.12212,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.73,0.27,3.46,3.27,2025-05-07,2.0,2,0
BELLE CHASSE 1.6 NNE,BELLE CHASSE 1.6 NNE,LA09,-89.99298,29.86741,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.83,-999.0,1000.83,1.51,2025-05-08,2.0,2,0
CHALMETTE,CHALMETTE,LA09,-89.95072,29.94318,79.5,66.5,73.0,-1.95,80.0,64.0,0.0,0.0,17.0,-3.0,3.54,0.44,3.1,2.66,2025-05-08,2.0,0,0
CUT OFF 0.8 WNW,CUT OFF 0.8 WNW,LA09,-90.34724,29.5319,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.6,-999.0,999.6,0.6,2025-05-08,1.0,2,1
DULAC 3N,DULAC 3N,LA09,-90.7011,29.4336,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.9,0.54,0.36,0.9,2025-05-08,1.0,2,0
DUTCHTOWN #2,DUTCHTOWN #2,LA09,-90.9872,30.2508,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.37,0.45,1.9200000000000002,1.8,2025-05-07,2.0,2,0
GONZALES,GONZALES,LA09,-90.9225,30.2033,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.75,0.39,2.36,2.0,2025-05-07,2.0,2,0
HOUMA 4.1 NNE,HOUMA 4.1 NNE,LA09,-90.67559,29.63165,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.67,-999.0,1000.67,1.67,2025-05-08,1.0,2,0
NEW ORLEANS AP,NEW ORLEANS AP,LA09,-90.27772,29.99755,81.0,67.5,74.25,-1.0,86.0,66.0,0.0,-0.0,19.0,-2.0,1.64,0.37,1.27,1.64,2025-05-07,1.0,0,0
NEW ORLEANS LAKEFRONT AP,NEW ORLEANS LAKEFRONT AP,LA09,-90.02899,30.04934,80.5,68.0,74.25,-1.55,85.0,67.0,0.0,0.0,19.0,-3.0,2.21,0.31,1.9,2.21,2025-05-07,1.0,0,0
NEW ORLEANS 2.8 E,NEW ORLEANS 2.8 E,LA09,-90.02538,29.9448,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.27,-999.0,1002.27,2.4,2025-05-08,2.0,2,0
NEW ORLEANS AUDUBON,NEW ORLEANS AUDUBON,LA09,-90.1302,29.9166,80.5,69.5,75.0,-1.7,82.0,69.0,0.0,0.0,20.0,-3.0,3.14,0.35,2.79,2.66,2025-05-08,2.0,0,0
METAIRIE 2.8 ENE,METAIRIE 2.8 ENE,LA09,-90.13431,30.01422,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.81,-999.0,1002.81,2.02,2025-05-07,2.0,2,0
RACELAND 2.1 WSW,RACELAND 2.1 WSW,LA09,-90.62615,29.70196,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.16,-999.0,1001.16,2.16,2025-05-08,1.0,2,0
RIVER RIDGE 0.7 N,RIVER RIDGE 0.7 N,LA09,-90.21775,29.96887,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,M,-999.0,2,2
ST AMANT 3.3 N,ST AMANT 3.3 N,LA09,-90.87,30.27167,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,M,-999.0,2,2
ST. BERNARD 2.7 E,ST. BERNARD 2.7 E,LA09,-89.814,29.86914,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,M,-999.0,2,2
ST ROSE 0.3 W,ST ROSE 0.3 W,LA09,-90.32003,29.95781,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.32,-999.0,1004.32,3.82,2025-05-08,2.0,2,0
THIBODAUX 4 SE,THIBODAUX 4 SE,LA09,-90.7748,29.7547,78.5,65.0,71.75,-2.95,82.0,62.0,0.0,-0.0,14.0,-6.0,2.07,0.38,1.69,2.01,2025-05-08,2.0,0,0
WESTWEGO 2.4 ENE,WESTWEGO 2.4 ENE,LA09,-90.10705,29.92085,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.04,-999.0,1001.04,2.04,2025-05-07,1.0,2,0
BLANCHARD,BLANCHARD,LA01,-93.93466,32.5676,73.5,58.5,66.0,-999.0,81.0,56.0,1.0,-999.0,4.0,-999.0,1.9,-999.0,1000.9,1.9,2025-05-07,1.0,0,0
BOSSIER CITY 4.0 S,BOSSIER CITY 4.0 S,LA01,-93.65634,32.46084,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.31,-999.0,1000.31,1.31,2025-05-07,1.0,2,0
CONVERSE 7.8 NNW,CONVERSE 7.8 NNW,LA01,-93.76898,31.87679,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.73,-999.0,1000.73,1.73,2025-05-07,1.0,2,0
COUSHATTA 4.3 ENE,COUSHATTA 4.3 ENE,LA01,-93.27869,32.05728,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.79,-999.0,1001.79,2.79,2025-05-07,1.0,2,0
KEITHVILLE,KEITHVILLE,LA01,-93.8619,32.355,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.6,0.33,1.27,1.6,2025-05-07,1.0,2,0
LOGANSPORT,LOGANSPORT,LA01,-94.0002,31.9672,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.31,-0.31,-999.0,M,-999.0,2,0
MOORINGSPORT 1 N,MOORINGSPORT 1 N,LA01,-93.9602,32.7052,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.28,-999.28,-999.0,M,-999.0,2,2
PLAIN DEALING,PLAIN DEALING,LA01,-93.645,32.8921,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.4,0.33,1.0699999999999998,1.4,2025-05-07,1.0,2,0
RED RIVER RESEARCH STATION,RED RIVER RESEARCH STATION,LA01,-93.638,32.4219,78.0,60.5,69.25,-1.8,79.0,59.0,0.0,-1.0,9.0,-4.0,1.38,0.34,1.0399999999999998,1.38,2025-05-07,1.0,0,0
SHREVEPORT DOWNTOWN AP,SHREVEPORT DOWNTOWN AP,LA01,-93.74616,32.53984,83.0,63.5,73.25,0.4,84.0,62.0,0.0,-1.0,17.0,1.0,0.06,0.26,-0.2,0.06,2025-05-07,1.0,0,0
SHREVEPORT AP,SHREVEPORT AP,LA01,-93.8244,32.4473,86.0,65.5,75.75,4.2,87.0,63.0,0.0,-1.0,22.0,8.0,0.02,0.3,-0.27999999999999997,0.02,2025-05-07,1.0,0,0
SHREVEPORT WFO,SHREVEPORT WFO,LA01,-93.8416,32.4513,81.5,62.5,72.0,1.85,83.0,61.0,0.0,-1.0,14.0,2.0,0.03,0.31,-0.28,0.03,2025-05-07,1.0,0,0
SHREVEPORT SOUTHERN HILLS,SHREVEPORT SOUTHERN HILLS,LA01,-93.8019,32.3795,75.0,61.0,68.0,-1.65,81.0,59.0,0.0,-2.0,6.0,-5.0,1.67,0.33,1.3399999999999999,1.64,2025-05-07,2.0,0,0
SPRINGHILL,SPRINGHILL,LA01,-93.4418,32.9922,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0.33,-0.33,0.0,2025-05-08,0.0,2,0
STONEWALL 5.3 NE,STONEWALL 5.3 NE,LA01,-93.75777,32.32172,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.73,-999.0,1000.73,1.69,2025-05-07,2.0,2,0
TAYLORTOWN,TAYLORTOWN,LA01,-93.56884,32.39725,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.84,-999.0,1000.84,1.84,2025-05-07,1.0,2,0
ARCADIA,ARCADIA,LA02,-92.9186,32.5511,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.12,0.31,1.81,2.12,2025-05-07,1.0,2,0
BIENVILLE 3 NE,BIENVILLE 3 NE,LA02,-92.9433,32.3744,81.5,63.0,72.25,2.2,83.0,62.0,0.0,-2.0,15.0,3.0,0.02,0.36,-0.33999999999999997,0.02,2025-05-07,1.0,0,0
CALHOUN 4.3 SSE,CALHOUN 4.3 SSE,LA02,-92.34389,32.45183,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.35,0.37,1.98,2.35,2025-05-07,1.0,2,0
CARLTON 1.7 E,CARLTON 1.7 E,LA02,-92.3314,32.5407,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.05,-999.0,1002.05,3.05,2025-05-07,1.0,2,0
